RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023
102001,0,United States,country,USA,35,31,31,32,34,35,34,33,34,33,33,32,35,31,31,33,34,35,34,34,35,34,34,34,36,32,33,36,36,35,36,37,37,37,37,37,37,33,35,35,35,35,35,35,35,34,34,34,36,32,31,32,31,33,32,32,32,32,32,31,33,30,30,31,31,32,31,31
394913,1,"New York, NY",msa,NY,63,56,49,48,49,54,56,53,54,54,51,50,57,55,49,50,50,52,54,53,52,55,53,52,59,57,48,50,58,53,47,50,55,57,59,60,55,44,55,60,60,63,65,64,63,64,62,55,62,64,57,55,56,59,58,55,50,50,52,51,57,53,48,50,52,54,53,53
753899,2,"Los Angeles, CA",msa,CA,35,29,30,30,31,32,31,30,31,31,31,31,33,30,30,31,31,32,32,32,32,32,32,33,35,30,30,34,31,31,31,32,33,34,34,34,35,31,31,31,30,31,30,30,30,30,30,31,33,28,28,29,28,29,29,28,29,29,28,29,30,27,28,28,28,29,28,28
394463,3,"Chicago, IL",msa,IL,42,39,38,40,42,43,42,40,40,39,39,38,42,38,39,39,41,42,41,40,41,39,39,39,42,38,39,43,44,40,41,42,43,43,43,42,45,32,41,42,42,43,42,41,41,40,40,39,42,37,37,37,38,38,38,36,36,36,36,35,37,33,35,36,36,37,36,35
394514,4,"Dallas, TX",msa,TX,21,20,19,20,21,21,21,21,21,21,21,20,21,20,20,21,21,21,21,21,22,21,21,21,22,21,21,,22,23,23,24,24,24,24,24,24,23,23,23,22,23,22,22,22,22,22,23,24,22,22,27,27,28,28,27,28,28,28,27,28,28,27,28,28,28,28,28
394692,5,"Houston, TX",msa,TX,31,29,30,31,32,33,32,31,31,31,31,30,31,30,29,31,32,32,32,31,31,31,31,30,31,30,30,34,32,33,34,34,36,36,35,35,36,33,35,33,32,33,32,32,32,31,31,31,32,30,29,30,29,30,29,28,29,28,28,28,29,28,28,29,29,29,29,28
395209,6,"Washington, DC",msa,VA,28,19,19,22,25,30,34,33,33,32,32,32,34,32,30,32,33,34,34,33,33,33,33,34,37,32,31,34,34,34,34,33,33,29,33,33,35,31,30,30,30,31,30,31,31,30,31,30,32,29,27,29,28,30,30,30,30,29,30,29,32,29,28,29,28,29,29,28
394974,7,"Philadelphia, PA",msa,PA,37,32,32,37,36,36,34,40,41,39,39,36,40,37,37,39,41,44,42,41,41,40,40,40,44,38,40,44,50,40,41,43,43,36,42,43,45,41,41,41,42,43,43,42,41,41,40,40,44,38,37,37,38,40,39,39,38,37,37,35,41,34,35,36,36,38,37,36
394856,8,"Miami, FL",msa,FL,36,32,34,34,36,37,37,35,35,35,34,32,36,31,32,34,36,36,36,35,36,35,34,34,37,32,34,38,37,35,37,39,39,39,39,38,,,35,38,38,39,39,38,37,36,36,36,39,34,35,36,35,36,35,33,32,34,33,31,34,31,33,34,35,36,35,34
394347,9,"Atlanta, GA",msa,GA,33,30,30,31,32,33,31,30,31,30,30,29,31,30,29,31,32,32,32,31,31,31,30,31,32,29,29,31,30,30,31,31,31,31,30,30,31,30,30,31,30,30,29,28,29,29,28,28,29,27,26,27,27,27,27,26,27,27,27,26,27,26,26,27,25,25,24,23
394404,10,"Boston, MA",msa,MA,49,44,43,43,44,47,47,46,45,43,44,43,46,43,42,44,45,46,46,45,44,44,44,43,49,44,43,45,49,45,44,46,45,45,45,46,49,45,44,44,45,47,45,46,44,43,43,44,48,43,40,41,42,37,43,44,42,41,42,41,44,38,39,39,40,41,42,42
394976,11,"Phoenix, AZ",msa,AZ,28,26,27,27,28,28,28,29,28,28,15,27,28,27,27,28,28,29,29,29,29,28,28,28,29,28,29,30,29,30,30,30,30,29,29,29,30,28,28,28,28,28,28,28,28,28,28,28,29,27,26,27,27,27,27,26,27,26,26,24,27,25,26,26,26,27,27,26
395057,12,"San Francisco, CA",msa,CA,29,24,24,24,25,26,26,25,25,24,26,26,29,24,24,26,25,25,26,26,28,26,27,28,30,25,25,30,28,28,28,28,29,28,28,30,30,27,28,28,28,28,28,27,28,27,27,27,29,24,24,25,25,25,25,25,26,24,25,25,28,23,23,24,23,23,24,23
395025,13,"Riverside, CA",msa,CA,35,30,31,31,33,34,32,32,31,31,32,31,32,30,30,31,31,33,33,33,34,34,33,34,35,31,32,35,33,33,34,36,37,37,36,37,38,33,33,33,32,33,32,32,32,32,32,32,34,30,29,29,29,29,29,28,29,29,29,28,30,28,29,29,29,29,29,29
394532,14,"Detroit, MI",msa,MI,36,33,33,33,34,36,36,35,36,34,34,34,36,33,32,34,34,33,35,34,35,34,34,34,35,31,32,37,38,34,37,38,39,38,37,37,30,31,34,34,33,34,33,33,33,33,32,33,35,30,29,30,29,30,29,29,30,29,28,28,29,26,27,28,28,28,29,27
395078,15,"Seattle, WA",msa,WA,32,29,28,28,29,30,30,30,30,30,30,30,32,30,29,29,29,30,31,31,32,31,32,32,34,30,29,31,31,32,31,32,32,31,32,32,33,30,29,30,29,30,30,30,30,29,30,30,31,28,27,28,28,29,29,28,29,29,29,29,30,28,28,28,28,29,29,28
394865,16,"Minneapolis, MN",msa,MN,30,28,29,31,31,31,31,29,28,28,27,26,29,25,29,30,30,31,30,29,29,28,28,27,31,27,29,31,32,31,31,31,32,32,32,31,31,30,30,33,32,35,33,33,32,31,30,30,32,29,29,31,31,32,30,29,29,28,27,26,29,27,27,28,28,30,29,29
395056,17,"San Diego, CA",msa,CA,31,29,29,29,30,30,27,24,31,30,30,29,30,29,29,30,30,30,31,30,31,30,31,31,32,29,30,,,30,30,30,31,30,30,30,31,29,29,29,28,28,28,28,28,28,28,28,29,24,24,25,24,26,26,25,26,27,26,25,27,25,26,25,25,24,24,24
395148,18,"Tampa, FL",msa,FL,35,33,34,35,37,37,37,35,35,35,35,33,34,32,33,35,36,37,35,36,35,23,33,34,35,32,34,37,35,35,36,37,38,37,37,36,37,33,34,35,34,35,34,34,34,33,32,33,34,31,31,32,31,32,31,31,32,34,31,30,32,30,31,32,32,33,33,31
394530,19,"Denver, CO",msa,CO,33,30,29,30,31,31,31,31,31,31,31,30,33,30,30,31,31,31,31,31,32,31,31,31,33,31,30,32,32,31,32,32,32,31,32,31,32,27,29,30,29,29,29,29,29,29,29,29,30,26,25,25,25,27,28,28,28,28,28,28,30,28,27,28,28,28,28,27
394358,20,"Baltimore, MD",msa,MD,35,31,29,32,30,34,38,37,37,36,36,34,38,34,34,35,37,39,37,37,38,37,37,37,40,36,36,39,40,39,39,39,37,30,37,39,40,35,36,35,34,35,34,34,34,34,34,34,36,32,30,31,30,31,31,31,31,31,31,31,35,31,29,30,30,31,30,30
395121,21,"St. Louis, MO",msa,MO,35,33,33,33,34,35,34,33,33,32,32,32,35,32,34,35,36,37,35,35,35,35,35,35,37,34,35,37,38,37,36,37,38,37,37,37,39,33,35,36,35,36,35,35,35,34,34,34,36,32,31,32,31,33,32,32,32,32,32,32,33,30,30,31,31,32,31,30
394943,22,"Orlando, FL",msa,FL,36,33,35,36,37,38,36,36,36,35,36,34,37,33,33,35,36,37,36,35,35,22,33,34,37,33,35,37,37,36,37,38,38,38,37,37,38,35,36,36,35,35,35,34,35,34,33,33,35,31,31,32,32,32,31,31,31,34,32,31,32,30,31,32,32,33,32,31
394458,23,"Charlotte, NC",msa,NC,39,35,33,34,36,37,36,35,36,35,35,35,39,34,34,35,36,37,37,36,36,36,36,36,39,35,35,38,37,36,38,38,38,37,37,37,37,30,36,36,35,36,35,35,34,34,34,34,37,32,31,32,31,33,33,32,32,32,32,32,35,32,31,31,31,33,32,31
395055,24,"San Antonio, TX",msa,TX,22,20,20,20,22,22,21,21,23,22,22,21,22,21,22,22,22,23,21,19,21,22,22,22,22,21,21,24,24,24,25,25,25,25,25,25,25,30,34,31,33,33,32,32,32,32,32,32,33,31,29,30,29,30,29,29,29,29,28,28,29,28,28,30,29,29,29,28
394998,25,"Portland, OR",msa,OR,36,32,32,31,32,33,32,32,32,32,32,32,34,31,31,31,32,32,33,32,33,33,33,33,35,32,32,34,33,33,33,34,35,35,34,35,35,32,31,31,30,31,31,31,31,30,31,31,32,29,28,29,29,30,29,29,29,29,29,29,30,29,28,29,28,29,29,29
395045,26,"Sacramento, CA",msa,CA,30,28,28,28,29,29,29,29,29,28,29,29,30,28,28,29,29,29,30,29,30,30,30,30,31,28,29,31,30,30,30,31,32,31,30,31,32,28,28,28,28,28,28,27,28,28,28,29,29,25,22,25,24,25,25,24,26,26,25,26,27,24,25,25,26,24,25,24
394982,27,"Pittsburgh, PA",msa,PA,42,38,40,41,42,40,42,40,39,40,39,39,42,38,39,39,40,42,40,41,42,42,41,41,45,41,41,45,,40,43,44,43,43,44,44,46,42,44,43,43,44,43,43,42,42,42,42,44,41,39,39,40,40,40,39,38,39,39,37,41,36,37,37,38,39,38,37
394466,28,"Cincinnati, OH",msa,OH,37,35,35,37,37,38,37,36,36,35,35,34,36,34,34,36,36,36,36,36,36,37,36,36,38,35,36,38,38,38,38,38,40,39,38,39,39,36,35,37,36,37,36,35,36,35,35,35,36,32,31,32,32,32,32,31,32,32,32,31,33,31,31,31,31,32,31,31
394355,29,"Austin, TX",msa,TX,32,30,29,30,31,31,30,31,31,31,31,30,31,30,29,30,31,31,30,30,30,30,30,31,32,30,30,32,32,32,32,32,32,31,32,31,29,30,33,29,28,28,27,27,28,27,28,28,29,27,25,26,25,25,24,23,24,26,24,23,25,24,22,22,23,23,23,23
394775,30,"Las Vegas, NV",msa,NV,23,22,26,13,29,33,31,31,31,29,31,30,33,29,30,31,31,32,33,32,33,32,32,32,34,31,32,34,31,32,33,34,35,35,34,34,,,32,32,31,31,30,31,31,30,31,30,32,29,29,29,29,29,29,28,28,28,28,28,29,28,28,29,29,29,29,28
394735,31,"Kansas City, MO",msa,MO,30,27,28,30,31,32,31,31,29,29,34,33,35,33,33,34,36,37,35,34,35,34,34,34,36,33,34,37,38,36,37,37,38,37,36,36,38,32,34,33,33,34,33,33,34,32,33,33,34,31,30,30,31,32,31,31,31,31,31,30,32,30,29,31,31,31,31,30
