RegionID,SizeRank,RegionName,RegionType,StateName,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022,1/31/2023,2/28/2023,3/31/2023,4/30/2023,5/31/2023,6/30/2023,7/31/2023,8/31/2023
102001,0,United States,country,USA,180000,185000,186000,189000,195000,193000,188000,180000,179616,172000,171000,169000,167000,168000,167500,173000,180000,180000,176000,170000,168000,167400,170000,170000,165000,170000,167000,170280,178000,183000,179000,174900,169400,169900,170000,165000,162000,161500,163000,167500,174500,170000,168000,162000,159900,160000,159000,155000,154500,160000,167000,173500,180000,179000,175000,171000,169900,172000,173000,165000,167000,175000,180000,189000,197500,198000,192500,185000,184900,180000,185000,179900,179000,184900,189000,195000,203000,200000,199000,191000,189900,190000,192145,187000,189500,196000,200000,209900,215000,212500,208800,203000,200000,200000,204000,199894,195000,202500,210000,215113,225000,220000,219000,215000,213500,215000,214000,211000,210000,215000,222000,227000,235000,233000,230000,225000,225000,225000,225000,225000,226000,232000,235500,240000,247000,243000,239900,234900,232000,234000,232050,230000,230000,239900,245000,251000,259000,255000,252000,249933,249900,249900,250000,247000,250000,259900,260000,255000,266000,278000,280000,283000,285000,285000,285000,280000,285000,299884,310000,315000,325000,325000,322000,320000,322143,325000,325000,320000,330000,345900,359900,365000,365000,350000,345000,340000,334075,325000,320000,320000,329755,340000,350000,360000,366000,362000,360000
394913,1,"New York, NY",msa,NY,400000,395480,400000,400000,405000,418875,420000,400000,385000,376300,374000,365650,365000,355000,352000,358250,360000,375000,377500,370000,360000,366500,359000,365000,370000,350000,360000,370000,372000,390000,399000,,,,365000,365000,375000,355000,360000,368000,370000,385000,380000,375000,350000,340000,340000,340000,335000,342000,345000,359960,371000,375000,369000,360000,350000,347000,345000,344170,331050,332500,337450,356000,375000,382485,385000,366120,355000,349000,350000,359000,350000,347000,350000,359000,376500,384000,389000,365000,355000,357000,360000,365000,352500,355000,355000,370900,387250,390000,392000,379000,365000,365000,369000,365000,365000,359000,363750,375000,395000,399900,395000,382873,375000,375000,370000,380000,370000,370000,383000,389000,410000,420000,413200,395000,385000,387500,384000,390000,380000,394950,395000,400000,420000,425000,420000,402900,395000,399250,390000,390000,395000,389000,395000,403000,425000,425000,425000,410000,407000,408000,410000,415000,410000,415000,425000,425000,435000,439000,450000,457000,460000,470000,465000,469000,470500,470000,485000,490000,515000,525000,525000,519000,510000,505000,506000,510000,508000,515000,540000,550000,565000,573400,565000,540000,525000,520000,510000,520000,505000,515000,539000,565000,585000,600000,610000
753899,2,"Los Angeles, CA",msa,CA,500000,495000,500000,490000,481000,470000,450000,438000,435000,405000,410000,386000,400000,394000,390000,406000,420000,413000,405000,418000,400000,399500,397750,387000,380000,395000,390500,405000,395000,400000,395000,400000,380000,387000,385000,370000,375000,385000,380000,385000,390000,390000,375000,380000,360000,360000,355000,345000,350000,368000,375000,378000,385000,390000,387500,386000,387500,390000,401750,390000,400000,432000,460000,460000,475000,470000,470000,466000,460000,460000,470000,450000,469500,480000,485000,500000,499000,505000,510000,499000,495000,490000,490000,490000,500000,510000,521500,520000,531000,527750,526000,519000,512500,520000,525000,520000,525000,538000,550000,563000,561300,556500,560000,550000,559000,555000,548500,550000,552750,570000,581500,595000,600000,605000,600000,600000,590000,605000,598000,590000,615000,620000,625000,640000,648000,640000,640000,625000,625000,627000,610000,601000,615000,630000,640000,640000,648000,660000,640000,645000,642250,640000,650000,649000,650000,670000,655000,650000,675000,707500,720000,730000,730000,725000,720000,720000,747000,770000,800000,815000,825000,820000,825000,821000,825000,825000,840000,830000,855000,895000,922500,918000,900000,875000,865000,850000,840000,830000,810000,815000,825000,841000,850000,868000,900000,895000,900000
394463,3,"Chicago, IL",msa,IL,227500,235000,230000,235000,245000,245000,240000,223000,225000,215000,207500,202750,206000,212000,210000,215000,220000,220000,216000,210000,199000,193000,195000,200000,185000,200000,200000,200000,215000,210000,220000,190000,193000,190000,185000,185000,183000,179900,185000,190000,200000,199000,195000,174500,165000,162000,160000,155000,152500,167500,179000,185500,200000,191750,185000,177500,162750,168900,165000,157000,153700,171500,186000,192500,215000,215000,206500,193500,185000,180299,185000,178000,170000,187000,200000,212750,229000,220000,218500,202000,195000,189000,188500,186200,185000,207500,212000,222000,230000,224500,218000,209000,200000,199000,196000,190000,187000,205000,224000,227000,233000,226000,220000,207000,207000,204250,205000,205000,201000,220000,233500,235000,244000,236000,227500,220000,215000,215000,215000,216000,221500,230000,240000,241000,250000,240000,230000,225000,220000,222500,216000,217000,222000,234500,240000,245000,250000,245000,240000,229900,229000,229900,225000,222500,225000,248000,256000,249000,252000,264250,269000,260000,260000,255000,252500,250000,250000,270000,282000,290000,295000,288000,282000,275000,272500,274900,270000,266000,270000,284000,303500,308000,320000,304000,295000,285000,275000,275000,270000,265000,272000,290000,300000,310000,326050,319700,320000
394514,4,"Dallas, TX",msa,TX,137000,146680,144000,149900,155000,153500,149999,140000,140000,133900,134500,127000,137500,136000,139910,150000,155000,153000,150000,143000,140000,138275,138000,130000,139900,145000,148000,150000,152000,155000,153000,140543,140000,140000,145000,136250,139900,138650,142000,149000,151465,151500,151350,143500,140000,137000,142750,136500,142000,152500,154900,162000,165000,163000,160000,158000,152000,153500,155453,145800,155000,165000,173000,179900,182000,183000,178000,172500,170000,167000,170000,160000,170000,178000,180000,186000,195000,192000,189900,182000,180000,182000,187000,180000,185000,195000,202425,212338,216314,210000,209000,198500,199000,197500,200850,194500,205000,214150,218125,230000,236500,227000,228000,223000,222500,226500,227000,223190,230250,238000,245000,251000,252000,249000,250000,240000,240000,241800,245000,235000,249950,258000,259900,269000,272500,265000,259900,250000,249900,249000,252000,240000,249900,260000,263000,275000,275000,270000,270000,262000,263000,259925,265000,260000,265000,273000,280000,272000,285000,295000,295000,295000,299900,297000,296000,289518,310000,320000,330000,350000,355000,355000,350131,350000,352000,355000,360000,355459,371000,387650,415700,425000,420000,410000,399000,387500,385000,375000,360000,355000,372000,374700,385000,395000,405000,400000,395000
394692,5,"Houston, TX",msa,TX,143500,143250,143900,149000,155000,153000,152000,149900,132400,128263,131250,124000,130000,139865,144200,150000,159700,157000,156000,150000,140000,143000,140000,137250,140400,147500,146000,147000,151000,151050,150000,147550,141119,144000,149900,130000,145000,139900,144000,150000,155000,150253,150000,145000,144000,142000,147000,129701,135000,150000,152000,159500,163000,161000,153000,151500,151500,155000,154600,140000,151590,160000,169500,173000,182350,177500,176000,171000,166000,167000,170000,164850,168000,171000,179000,184000,186188,190000,191000,183000,179900,180750,190000,178200,183000,192125,194000,205500,207000,205000,200000,190000,189000,184359,193500,187000,188000,193750,201000,210000,215000,215000,210000,204100,200000,205000,207500,195250,200000,213000,214000,222000,225000,218000,219950,217500,210000,210000,210000,203000,213000,219999,228000,230000,232000,230250,225000,219000,219900,218400,220440,212000,218000,228000,232750,240000,242750,237015,236000,230000,225000,225950,236000,222250,230000,237500,239000,235000,250000,262500,259000,254900,257000,261500,264000,253000,269000,285000,289950,300000,308000,300000,300000,293000,296250,305000,308000,299000,315900,318000,335000,345000,347000,338750,325000,325000,313000,310000,309000,299900,307000,315000,320000,330000,335000,335000,330000
395209,6,"Washington, DC",msa,VA,353000,350000,358000,365000,370000,368325,350000,320000,312000,300950,300000,300000,290000,300000,300000,315000,325000,331000,320000,301600,293125,290500,288000,275000,285000,284000,310000,310000,319900,343250,315000,315000,320000,324950,316250,291500,300000,310000,325000,341620,350000,348000,335000,310000,305000,310000,295000,292950,290000,320000,336000,355000,365000,350000,345000,330000,320000,331000,325000,315100,320000,340000,360000,375000,388316,379530,370000,347000,345000,349000,347500,337500,339000,350500,369900,385000,390000,381350,370500,350000,357000,353000,360000,344000,354500,364900,379700,390000,388000,376000,366100,354450,355000,359900,348347,349999,349000,359000,375000,389000,390000,380000,375000,355000,356000,360000,360000,350000,350000,365000,389900,399990,403000,395000,385000,364000,365000,375000,375000,363000,370000,389900,403000,410000,415000,400000,399000,375000,380000,380000,387500,375000,377750,393500,410539,415000,422525,415000,405000,385000,399000,400000,400000,384900,399999,425000,435000,434950,434000,452750,449900,439990,440000,435000,430000,418444,420000,450000,472500,489500,495000,485000,470000,460000,469000,460000,455000,435000,456173,499126,530000,540000,530000,511000,500000,475000,484500,475000,457000,448500,480000,495300,529000,550000,550000,540000,529900
394974,7,"Philadelphia, PA",msa,PA,205000,211400,210000,222000,229000,230500,232500,216000,210000,205000,200000,196000,196250,200000,203000,215000,225000,221000,219000,209000,200000,200000,200000,210000,200964,204000,209900,209950,227500,227000,225000,215000,206000,205950,205000,204600,199000,195000,199945,206000,225000,219900,217500,203500,199000,195000,195000,195000,185000,190000,200000,215000,225000,224375,220000,209000,200000,206000,205000,194000,187500,200500,205000,219250,235000,235000,230000,210000,205000,202125,203250,200000,190000,197500,205000,217500,233125,231860,225000,212799,207500,211410,205000,203000,190000,203000,207000,220000,234000,229250,225000,217500,212500,205000,202000,200000,195000,200000,212000,225000,239000,235000,230000,221000,217900,216000,217250,205000,200967,214900,224900,232000,248000,242000,234000,223000,220000,222000,222000,214900,212000,225000,225000,235000,249000,245000,242000,233000,224900,230000,225000,220000,220000,232725,235000,245000,262000,260000,257945,240000,237500,245000,239900,239000,235000,250000,268000,257500,265000,280000,282500,277000,270000,272475,270000,265000,260000,269000,279900,287639,310000,310000,310000,291750,289000,291900,285000,283000,275000,290000,307000,325000,343000,335000,330000,320000,313900,315000,309000,300000,300000,315000,318000,335000,360000,359900,355000
394856,8,"Miami, FL",msa,FL,245000,240000,245000,243500,252275,250000,240000,220000,219900,210000,200000,182000,182000,175000,165000,175000,190000,185000,180000,175000,166000,163000,169000,152000,155000,160000,155000,162000,165000,160000,160000,155000,150750,150000,150000,137500,140000,133000,145000,155000,155000,150000,150000,140000,140000,141000,142000,139900,140000,140000,150000,158000,165000,161456,160000,160000,160000,165000,168000,157000,160000,170000,178000,186000,199900,200000,200000,193370,185050,190000,198000,187500,185000,200000,199000,220000,230000,225000,215000,215000,215000,215000,220000,214500,219125,222000,222500,236700,240000,237000,235000,227500,224000,227750,230000,224000,229000,230000,235000,243000,250000,245000,245000,247500,240000,239900,245000,240450,240000,249000,250000,258000,272000,260500,265000,255500,250000,257000,263000,255000,257000,265000,265000,270000,280000,270000,270000,268250,270000,273000,270000,263000,267000,278000,276000,280000,290000,289000,285000,282000,287500,287900,285000,282500,290000,300000,305000,305000,310000,320000,325000,320000,325000,325000,327000,330000,335000,335000,350000,350000,360000,360000,359000,355000,360000,367850,375000,375000,387500,400000,400000,425000,429900,416500,415000,410000,415000,410000,400000,415000,425000,435000,448000,455000,464500,458000,457000
394347,9,"Atlanta, GA",msa,GA,169000,172900,175000,179900,182950,175650,169500,158000,157372,144650,149850,145950,144900,149000,145500,152000,160000,163000,155000,149450,150000,147000,137600,133575,133900,135000,149000,148000,141900,142000,132000,127090,122000,125000,129250,125000,117950,118500,120000,125000,129000,130000,137750,130000,128000,127727,120000,118800,123000,135000,149900,155700,159358,160000,149000,143000,139500,140705,149000,136000,150000,166000,170000,185000,188000,189900,178900,167500,165000,160000,167000,160000,160000,175000,184500,190175,197250,193000,182054,175000,170000,172000,175000,169000,175000,185000,190000,205000,203000,200000,189900,185000,180000,182500,188500,178750,181000,190000,200000,207625,207000,207900,195000,185900,187500,190000,189000,186000,189100,200000,209870,211105,218000,217000,210000,205000,208000,206875,212000,209900,215000,224900,232000,237500,239000,233000,225000,228000,226000,222000,224000,220000,221900,237000,240000,250000,255000,251000,244000,242000,239900,242000,245000,236000,246000,259000,265000,253000,264000,274900,276000,275000,279000,276000,275250,275000,284000,300000,313650,323000,334150,335000,325000,328050,338000,340000,340000,335000,345000,358650,375000,390000,390000,383000,370000,360000,355500,350000,348500,335000,348800,359900,369000,375000,390000,385000,380000
